startgg_link,region_event,date,bracket_start_date,top8_start_date,other_url,twitch_url,youtube_url,notes,,
https://www.start.gg/tournament/aubycup-world-warrior-2024-asia-east-2/details,Asia East #2,2024-08-03,2024-08-03T13:00+08:00,2024-08-03T19:00+08:00,,https://www.twitch.tv/firemanruby2,https://www.youtube.com/channel/UCVry0Zft52zCoF_pcXcTRVw,,,
https://www.start.gg/tournament/aubycup-world-warrior-2024-asia-east-3/details,Asia East #3,2024-09-21,2024-09-21T13:00+08:00,2024-09-21T19:00+08:00,,https://www.twitch.tv/firemanruby2,https://www.youtube.com/channel/UCVry0Zft52zCoF_pcXcTRVw,,,
https://www.start.gg/tournament/aubycup-world-warrior-2024-asia-east-4/details,Asia East #4,2024-10-26,2024-10-26T13:00+08:00,2024-10-26T19:00+08:00,,https://www.twitch.tv/firemanruby2,https://www.youtube.com/channel/UCVry0Zft52zCoF_pcXcTRVw,,,
https://www.start.gg/tournament/aubycup-world-warrior-2024-asia-east-5/details,Asia East #5,2024-11-16,2024-11-16T13:00+08:00,2024-11-16T19:00+08:00,,https://www.twitch.tv/firemanruby2,https://www.youtube.com/channel/UCVry0Zft52zCoF_pcXcTRVw,,,
https://www.start.gg/tournament/aubycup-world-warrior-2024-asia-east-regional-final/details,Asia East - Regional Final,2024-12-07,2024-12-07T19:00+08:00,,,https://www.twitch.tv/firemanruby2,https://www.youtube.com/channel/UCVry0Zft52zCoF_pcXcTRVw,,,
,,,,,,,,,,
,Japan #1,2024-07-28,2024-07-28T16:30+09:00,2024-07-28T19:00+09:00,,,,a bit unique due to the public viewing + tix situation,,
,Japan #2,2024-09-01,2024-09-01T16:30+09:00,2024-09-01T19:00+09:00,,,,https://t.livepocket.jp/e/r8p01,,
,Japan #3,2024-10-06,2024-10-06T16:30+09:00,2024-10-06T19:00+09:00,,,,https://esports.au.com/worldwarrior2024/,,
,Japan #4,2024-11-17,2024-11-17T16:30+09:00,2024-11-17T19:00+09:00,,,,,,
,Japan #5,2024-12-08,2024-12-08T16:30+09:00,2024-12-08T19:00+09:00,,,,,,
,Japan - Regional Final,2025-01-19,,,,,,,,
,,,,,,,,,,
https://www.start.gg/tournament/versus-masters-world-warrior-2024-asia-southeast-1/details,Asia South East #1,2024-07-07,2024-07-07T12:00+08:00,2024-07-07T14:00+08:00,,https://www.twitch.tv/versusasia,https://www.youtube.com/@Versusvortex,,,
https://www.start.gg/tournament/versus-masters-world-warrior-2024-asia-southeast-2/details,Asia South East #2,2024-07-28,2024-07-26T12:00+08:00,2024-07-26T14:00+08:00,,https://www.twitch.tv/versusasia,https://www.youtube.com/@Versusvortex,,,
https://www.start.gg/tournament/versus-masters-world-warrior-2024-asia-southeast-3/details,Asia South East #3,2024-08-18,2024-08-18T12:00+08:00,2024-08-18T14:00+08:00,,https://www.twitch.tv/versusasia,https://www.youtube.com/@Versusvortex,,,
https://www.start.gg/tournament/versus-masters-world-warrior-2024-asia-southeast-4/details,Asia South East #4,2024-09-08,2024-09-08T12:00+08:00,2024-09-08T14:00+08:00,,https://www.twitch.tv/versusasia,https://www.youtube.com/@Versusvortex,,,
https://www.start.gg/tournament/versus-masters-world-warrior-2024-asia-southeast-5/details,Asia South East #5,2024-10-27,2024-10-27T12:00+08:00,2024-10-27T14:00+08:00,,https://www.twitch.tv/versusasia,https://www.youtube.com/@Versusvortex,,,
https://www.start.gg/tournament/versus-masters-world-warrior-2024-asia-southeast-finale/details,Asia South East - Regional Final,2024-12-07,,,,https://www.twitch.tv/versusasia,https://www.youtube.com/@Versusvortex,,,
,,,,,,,,,,
https://www.start.gg/tournament/fighters-dojo-world-warrior-2024-asia-south-1/details,Asia South #1,2024-06-30,2024-06-30T14:00+05:30,2024-06-30T20:00+05:30,,https://www.twitch.tv/yoddhaagaming,,,,
https://www.start.gg/tournament/fighters-dojo-world-warrior-2024-asia-south-2/details,Asia South #2,2024-07-28,2024-07-28T14:00+05:30,2024-07-28T20:00+05:30,,https://www.twitch.tv/yoddhaagaming,,,,
https://www.start.gg/tournament/fighters-dojo-world-warrior-2024-asia-south-3/details,Asia South #3,2024-08-18,2024-08-18T14:00+05:30,2024-08-18T20:00+05:30,,https://www.twitch.tv/yoddhaagaming,,,,
https://www.start.gg/tournament/fighters-dojo-world-warrior-2024-asia-south-4/details,Asia South #4,2024-09-22,2024-09-22T14:00+05:30,2024-09-22T20:00+05:30,,https://www.twitch.tv/yoddhaagaming,,,,
https://www.start.gg/tournament/fighters-dojo-world-warrior-2024-asia-south-5/details,Asia South #5,2024-10-27,2024-10-27T14:00+05:30,2024-10-27T20:00+05:30,,https://www.twitch.tv/yoddhaagaming,,,,
https://www.start.gg/tournament/fighters-dojo-world-warrior-2024-asia-south-regional-final/details,Asia South - Regional Final,2024-11-24,2024-10-27T17:00+05:30,,,https://www.twitch.tv/yoddhaagaming,,,,
,,,,,,,,,,
https://www.start.gg/tournament/unga-world-warrior-2024-oceania-1/details,Oceania #1,2024-07-07,2024-07-07T13:30+10:00,2024-07-07T15:30+10:00,,https://www.twitch.tv/ungadownunder,,,,
https://www.start.gg/tournament/unga-world-warrior-2024-oceania-2/details,Oceania #2,2024-07-28,2024-07-28T13:30+10:00,2024-07-28T15:30+10:00,,https://www.twitch.tv/ungadownunder,,,,
https://www.start.gg/tournament/unga-world-warrior-2024-oceania-3/details,Oceania #3,2024-08-18,2024-08-18T13:30+10:00,2024-08-18T15:30+10:00,,https://www.twitch.tv/ungadownunder,,,,
https://www.start.gg/tournament/unga-world-warrior-2024-oceania-4/details,Oceania #4,2024-09-22,2024-09-22T13:30+10:00,2024-09-22T15:30+10:00,,https://www.twitch.tv/ungadownunder,,,,
https://www.start.gg/tournament/unga-world-warrior-2024-oceania-5/details,Oceania #5,2024-10-27,2024-10-27T13:30+10:00,2024-10-27T15:30+10:00,,https://www.twitch.tv/ungadownunder,,,,
https://www.start.gg/tournament/unga-world-warrior-2024-oceania-final/details,Oceania - Regional Final,2024-11-24,2024-11-24T14:30+10:00,,,https://www.twitch.tv/ungadownunder,,,,
,,,,,,,,,,
https://www.start.gg/tournament/br-kumite-world-warrior-2024-brazil-1/details,Brazil #1,2024-07-03,2024-07-03T20:00-03:00,2024-07-04T20:00-03:00,,https://www.twitch.com/ryoran,https://www.youtube.com/ryoranfgc,,,
https://www.start.gg/tournament/br-kumite-world-warrior-2024-brazil-2/details,Brazil #2,2024-07-31,2024-07-31T20:00-03:00,2024-08-01T20:00-03:00,,https://www.twitch.com/ryoran,https://www.youtube.com/ryoranfgc,,,
https://www.start.gg/tournament/br-kumite-world-warrior-2024-brazil-3/details,Brazil #3,2024-08-14,2024-08-14T20:00-03:00,2024-08-15T20:00-03:00,,https://www.twitch.com/ryoran,https://www.youtube.com/ryoranfgc,,,
https://www.start.gg/tournament/br-kumite-world-warrior-2024-brazil-4/details,Brazil #4,2024-09-25,2024-09-25T20:00-03:00,2024-09-26T20:00-03:00,,https://www.twitch.com/ryoran,https://www.youtube.com/ryoranfgc,,,
https://www.start.gg/tournament/br-kumite-world-warrior-2024-brazil-5/details,Brazil #5,2024-10-23,2024-10-23T20:00-03:00,2024-10-24T20:00-03:00,,https://www.twitch.com/ryoran,https://www.youtube.com/ryoranfgc,,,
https://www.start.gg/tournament/br-kumite-world-warrior-2024-brazil-regional-final/,Brazil - Regional Final,2024-11-20,,,,https://www.twitch.com/ryoran,https://www.youtube.com/ryoranfgc,,,
,,,,,,,,,,
https://www.start.gg/tournament/blink-battleground-world-warrior-2024-ca-east-1/details,Central America East #1,2024-06-22,2024-06-22T15:00-03:00,2024-06-22T20:00-03:00,,https://www.twitch.tv/blinkesportsrd,https://www.youtube.com/blinkesportsleague,,,
https://www.start.gg/tournament/blink-battleground-world-warrior-2024-ca-east-2/details,Central America East #2,2024-07-13,2024-07-13T15:00-03:00,2024-07-13T20:00-03:00,,https://www.twitch.tv/blinkesportsrd,https://www.youtube.com/blinkesportsleague,,,
https://www.start.gg/tournament/blink-battleground-world-warrior-2024-ca-east-3/details,Central America East #3,2024-08-17,2024-08-17T15:00-03:00,2024-08-17T20:00-03:00,,https://www.twitch.tv/blinkesportsrd,https://www.youtube.com/blinkesportsleague,,,
https://www.start.gg/tournament/blink-battleground-world-warrior-2024-ca-east-4/details,Central America East #4,2024-09-21,2024-09-21T15:00-03:00,2024-09-21T20:00-03:00,,https://www.twitch.tv/blinkesportsrd,https://www.youtube.com/blinkesportsleague,,,
https://www.start.gg/tournament/blink-battleground-world-warrior-2024-ca-east-5/details,Central America East #5,2024-10-26,2024-10-26T15:00-03:00,2024-10-26T20:00-03:00,,https://www.twitch.tv/blinkesportsrd,https://www.youtube.com/blinkesportsleague,,,
https://www.start.gg/tournament/blink-battleground-world-warrior-2024-ca-east-regional-final/details,Central America East - Regional Final,2024-11-16,2024-11-16T20:00-03:00,,,https://www.twitch.tv/blinkesportsrd,https://www.youtube.com/blinkesportsleague,,,
,,,,,,,,,,
https://www.start.gg/tournament/latam-fist-world-warrior-2024-ca-west-1/details,Central America West #1,2024-06-29,2024-06-29T20:00-04:00,2024-06-30T18:00-4:00,,https://www.twitch.tv/panamafightersleague,,,,
https://www.start.gg/tournament/latam-fist-world-warrior-2024-ca-west-2/details,Central America West #2,2024-07-13,2024-07-13T20:00-04:00,2024-07-14T18:00-04:00,,https://www.twitch.tv/panamafightersleague,,,,
https://www.start.gg/tournament/latam-fist-world-warrior-2024-ca-west-3/details,Central America West #3,2024-08-03,2024-08-03T20:00-04:00,2024-08-04T18:00-04:00,,https://www.twitch.tv/panamafightersleague,,,,
https://www.start.gg/tournament/latam-fist-world-warrior-2024-ca-west-4/details,Central America West #4,2024-09-28,2024-09-28T20:00-04:00,2024-09-29T18:00-04:00,,https://www.twitch.tv/panamafightersleague,,,,
https://www.start.gg/tournament/latam-fist-world-warrior-2024-ca-west-5/details,Central America West #5,2024-10-26,2024-10-26T20:00-04:00,2024-10-27T18:00-04:00,,https://www.twitch.tv/panamafightersleague,,,,
https://www.start.gg/tournament/latam-fist-world-warrior-2024-ca-west-final/details,Central America West - Regional Final,2024-11-16,2024-11-16T18:00-04:00,,,https://www.twitch.tv/panamafightersleague,,,,
,,,,,,,,,,
https://www.start.gg/tournament/mexican-mash-series-world-warrior-2024-mexico-1/details,Mexico #1,2024-06-29,2024-06-29T17:00-05:00,2024-06-30T17:00-05:00,,http://twitch.tv/mmseries,https://www.youtube.com/@mexicanmashseries,,,
https://www.start.gg/tournament/mexican-mash-series-world-warrior-2024-mexico-2/details,Mexico #2,2024-08-03,2024-08-03T17:00-05:00,2024-08-04T17:00-05:00,,http://twitch.tv/mmseries,https://www.youtube.com/@mexicanmashseries,,,
https://www.start.gg/tournament/mexican-mash-series-world-warrior-2024-mexico-3/details,Mexico #3,2024-08-17,2024-08-17T17:00-05:00,2024-08-18T17:00-05:00,,http://twitch.tv/mmseries,https://www.youtube.com/@mexicanmashseries,,,
https://www.start.gg/tournament/mexican-mash-series-world-warrior-2024-mexico-4/details,Mexico #4,2024-09-21,2024-09-21T17:00-05:00,2024-09-22T17:00-05:00,,http://twitch.tv/mmseries,https://www.youtube.com/@mexicanmashseries,,,
https://www.start.gg/tournament/mexican-mash-series-world-warrior-2024-mexico-5/details,Mexico #5,2024-10-26,2024-10-26T17:00-05:00,2024-10-27T17:00-05:00,,http://twitch.tv/mmseries,https://www.youtube.com/@mexicanmashseries,,,
https://www.start.gg/tournament/mexican-mash-series-world-warrior-2024-regional-final/details,Mexico - Regional Final,2024-11-30,2024-11-30T17:00-05:00,,,http://twitch.tv/mmseries,https://www.youtube.com/@mexicanmashseries,,,
,,,,,,,,,,
https://www.start.gg/tournament/de-la-calle-world-warrior-2024-sa-east-1/details,South America East #1,2024-07-06,2024-07-06T15:00-03:00,2024-07-07T20:00-03:00,,https://www.twitch.tv/UAFG,,,,
https://www.start.gg/tournament/de-la-calle-world-warrior-2024-sa-east-2/details,South America East #2,2024-07-27,2024-07-27T15:00-03:00,2024-07-28T20:00-03:00,,https://www.twitch.tv/UAFG,,,,
https://www.start.gg/tournament/de-la-calle-world-warrior-2024-sa-east-3/details,South America East #3,2024-08-17,2024-08-17T15:00-03:00,2024-08-18T20:00-03:00,,https://www.twitch.tv/UAFG,,,,
https://www.start.gg/tournament/de-la-calle-world-warrior-2024-sa-east-4/details,South America East #4,2024-09-21,2024-09-21T15:00-03:00,2024-09-22T20:00-03:00,,https://www.twitch.tv/UAFG,,,,
https://www.start.gg/tournament/de-la-calle-world-warrior-2024-sa-east-5/details,South America East #5,2024-10-26,2024-10-26T15:00-03:00,2024-10-27T20:00-03:00,,https://www.twitch.tv/UAFG,,,,
https://www.start.gg/tournament/de-la-calle-world-warrior-2024-sa-east-finals/details,South America East - Regional Final,2024-11-16,2024-11-16T20:00-03:00,,,https://www.twitch.tv/UAFG,,,,
,,,,,,,,,,
https://www.start.gg/tournament/champion-s-road-world-warrior-2024-sa-west-1/details,South America West #1,2024-07-06,2024-07-06T20:00-04:00,2024-07-07T18:00-04:00,,https://www.twitch.tv/f2gcl,https://www.youtube.com/f2gcl,,,
https://www.start.gg/tournament/champion-s-road-world-warrior-2024-sa-west-2/details,South America West #2,2024-08-10,2024-08-10T20:00-04:00,2024-08-11T18:00-04:00,,https://www.twitch.tv/f2gcl,https://www.youtube.com/f2gcl,,,
https://www.start.gg/tournament/champion-s-road-world-warrior-2024-sa-west-3/details,South America West #3,2024-09-21,2024-09-21T20:00-04:00,2024-09-22T18:00-04:00,,https://www.twitch.tv/f2gcl,https://www.youtube.com/f2gcl,,,
https://www.start.gg/tournament/champion-s-road-world-warrior-2024-sa-west-4/details,South America West #4,2024-10-26,2024-10-26T20:00-04:00,2024-10-27T18:00-04:00,,https://www.twitch.tv/f2gcl,https://www.youtube.com/f2gcl,,,
https://www.start.gg/tournament/champion-s-road-world-warrior-2024-sa-west-5/details,South America West #5,2024-11-16,2024-11-16T20:00-04:00,2024-11-17T18:00-04:00,,https://www.twitch.tv/f2gcl,https://www.youtube.com/f2gcl,,,
https://www.start.gg/tournament/champion-s-road-world-warrior-2024-sa-west-final/details,South America West - Regional Final,2024-11-24,2024-11-24T18:00-04:00,,,https://www.twitch.tv/f2gcl,https://www.youtube.com/f2gcl,,,
,,,,,,,,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-uk-ireland-1/details,UK/Ireland #1,2024-06-22,2024-06-22T16:00+00:00,2024-06-22T18:00+00:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-uk-ireland-2/details,UK/Ireland #2,2024-07-06,2024-07-06T16:00+00:00,2024-07-06T18:00+00:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-uk-ireland-3/details,UK/Ireland #3,2024-08-15,2024-08-15T16:00+00:00,2024-08-15T18:00+00:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-uk-ireland-4/details,UK/Ireland #4,2024-09-21,2024-09-21T16:00+00:00,2024-09-21T18:00+00:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-uk-ireland-5/details,UK/Ireland #5,2024-10-26,2024-10-26T16:00+00:00,2024-10-26T18:00+00:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-uk-ireland-final/details,UK/Ireland - Regional Final,2024-11-30,2024-11-30T18:00+00:00,,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
,,,,,,,,,,
https://www.start.gg/tournament/set-reset-world-warrior-2024-france-1/details,France/Monaco #1,2024-06-21,2024-06-22T19:00+02:00,,,,https://www.youtube.com/@Reversalgg,,,
https://www.start.gg/tournament/set-reset-world-warrior-2024-france-2/details,France/Monaco #2,2024-07-28,2024-07-28T14:00+02:00,2024-07-28T17:00+02:00,,,https://www.youtube.com/@Reversalgg,,,
https://www.start.gg/tournament/set-reset-world-warrior-2024-france-3/details,France/Monaco #3,2024-09-22,2024-09-22T14:00+02:00,2024-09-22T17:00+02:00,,,https://www.youtube.com/@Reversalgg,,,
https://www.start.gg/tournament/set-reset-world-warrior-2024-france-4/details,France/Monaco #4,2024-10-27,2024-10-27T14:00+02:00,2024-10-27T17:00+02:00,,,https://www.youtube.com/@Reversalgg,,,
https://www.start.gg/tournament/set-reset-world-warrior-2024-france-5/details,France/Monaco #5,2024-11-17,2024-11-17T14:00+02:00,2024-11-17T17:00+02:00,,,https://www.youtube.com/@Reversalgg,,,
https://www.start.gg/tournament/set-reset-world-warrior-2024-france-final/details,France/Monaco - Regional Final,2024-12-08,2024-12-08T17:00+02:00,,,,https://www.youtube.com/@Reversalgg,,,
,,,,,,,,,,
https://www.start.gg/tournament/impact-series-world-warrior-2024-spain-portugal-1/details,Spain/Portugal #1,2024-07-14,2024-07-14T17:00+02:00,2024-07-14T19:00+02:00,,https://www.twitch.tv/IMPACTLVP,https://www.youtube.com/channel/UCpO4aNT_ihAgcPBI3h5h8bg,,,
https://www.start.gg/tournament/impact-series-world-warrior-2024-spain-portugal-2/details,Spain/Portugal #2,2024-08-11,2024-08-11T17:00+02:00,2024-08-11T19:00+02:00,,https://www.twitch.tv/IMPACTLVP,https://www.youtube.com/channel/UCpO4aNT_ihAgcPBI3h5h8bg,,,
https://www.start.gg/tournament/impact-series-world-warrior-2024-spain-portugal-3/details,Spain/Portugal #3,2024-09-08,2024-09-08T17:00+02:00,2024-09-08T19:00+02:00,,https://www.twitch.tv/IMPACTLVP,https://www.youtube.com/channel/UCpO4aNT_ihAgcPBI3h5h8bg,,,
https://www.start.gg/tournament/impact-series-world-warrior-2024-spain-portugal-4/details,Spain/Portugal #4,2024-10-06,2024-10-06T17:00+02:00,2024-10-06T19:00+02:00,,https://www.twitch.tv/IMPACTLVP,https://www.youtube.com/channel/UCpO4aNT_ihAgcPBI3h5h8bg,,,
https://www.start.gg/tournament/impact-series-world-warrior-2024-spain-portugal-5/details,Spain/Portugal #5,2024-11-03,2024-11-03T17:00+02:00,2024-11-03T19:00+02:00,,https://www.twitch.tv/IMPACTLVP,https://www.youtube.com/channel/UCpO4aNT_ihAgcPBI3h5h8bg,,,
https://www.start.gg/tournament/impact-series-by-legion-world-warrior-2024-final-regional-fecha/details,Spain/Portugal - Regional Final,2024-11-27,,,,https://www.twitch.tv/IMPACTLVP,https://www.youtube.com/channel/UCpO4aNT_ihAgcPBI3h5h8bg,,,
,,,,,,,,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-west-1/details,Europe West #1,2024-06-30,2024-06-30T17:00+02:00,2024-06-30T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-west-2/details,Europe West #2,2024-07-28,2024-07-28T17:00+02:00,2024-07-28T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-west-3/details,Europe West #3,2024-08-18,2024-08-18T17:00+02:00,2024-08-18T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-west-4/details,Europe West #4,2024-09-29,2024-09-29T17:00+02:00,2024-09-29T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-west-5/details,Europe West #5,2024-11-03,2024-11-03T17:00+01:00,2024-11-03T19:00+01:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-west-final-1/details,Europe West - Regional Final,2024-12-08,2024-12-08T19:00+01:00,,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
,,,,,,,,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-germany-1/details,Germany #1,2024-06-23,2024-06-23T17:00+02:00,2024-06-23T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-germany-2/details,Germany #2,2024-07-07,2024-07-07T17:00+02:00,2024-07-07T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-germany-3/details,Germany #3,2024-08-16,2024-08-16T17:00+02:00,2024-08-16T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-germany-4/details,Germany #4,2024-09-22,2024-09-22T17:00+02:00,2024-09-22T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-germany-5/details,Germany #5,2024-10-27,2024-10-27T17:00+01:00,2024-10-27T19:00+01:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-germany-final/details,Germany - Regional Final,2024-12-01,2024-12-1T19:00+01:00,,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/saltmineleague,,,
,,,,,,,,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-north-east-1/details,Europe North/East #1,2024-06-29,2024-06-23T17:00+02:00,2024-06-23T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/@Reversalgg,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-north-east-2/details,Europe North/East #2,2024-07-27,2024-07-27T17:00+02:00,2024-07-27T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/@Reversalgg,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-north-east-3/details,Europe North/East #3,2024-08-17,2024-08-17T17:00+02:00,2024-08-17T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/@Reversalgg,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-north-east-4/details,Europe North/East #4,2024-09-28,2024-09-28T17:00+02:00,2024-09-28T19:00+02:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/@Reversalgg,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-north-east-5/details,Europe North/East #5,2024-11-02,2024-11-02T17:00+01:00,2024-11-02T19:00+01:00,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/@Reversalgg,,,
https://www.start.gg/tournament/saltmine-league-world-warrior-2024-europe-north-east-final/details,Europe North/East - Regional Final,2024-12-07,2024-11-02T19:00+01:00,,,https://www.twitch.tv/saltmineleague,https://www.youtube.com/@Reversalgg,,,
,,,,,,,,,,
https://www.start.gg/tournament/slash-n-dash-world-warrior-2024-middle-east-1/details,Middle East #1,2024-06-29,2024-06-29T14:00+04:00,2024-06-29T19:30+04:00,,https://www.twitch.tv/vslashesports,https://www.youtube.com/@vSlashEsports,,,
https://www.start.gg/tournament/slash-n-dash-world-warrior-2024-middle-east-2/details,Middle East #2,2024-07-13,2024-07-13T14:00+04:00,2024-07-13T19:30+04:00,,https://www.twitch.tv/vslashesports,https://www.youtube.com/@vSlashEsports,,,
https://www.start.gg/tournament/slash-n-dash-world-warrior-2024-middle-east-3/details,Middle East #3,2024-09-21,2024-09-21T14:00+04:00,2024-09-21T19:30+04:00,,https://www.twitch.tv/vslashesports,https://www.youtube.com/@vSlashEsports,,,
https://www.start.gg/tournament/slash-n-dash-world-warrior-2024-middle-east-4/details,Middle East #4,2024-10-26,2024-10-26T14:00+04:00,2024-10-26T19:30+04:00,,https://www.twitch.tv/vslashesports,https://www.youtube.com/@vSlashEsports,,,
https://www.start.gg/tournament/slash-n-dash-world-warrior-2024-middle-east-5/details,Middle East #5,2024-11-23,2024-11-23T14:00+04:00,2024-11-23T19:30+04:00,,https://www.twitch.tv/vslashesports,https://www.youtube.com/@vSlashEsports,,,
https://www.start.gg/tournament/slash-n-dash-world-warrior-2024-middle-east-regional-final/details,Middle East - Regional Final,2024-12-07,2024-12-07T19:30+04:00,,,https://www.twitch.tv/vslashesports,https://www.youtube.com/@vSlashEsports,,,
,,,,,,,,,,
https://www.start.gg/tournament/get-washed-world-warrior-2024-south-africa-1/details,South Africa #1,2024-07-06,2024-07-06T13:00+02:00,2024-07-06T15:00+02:00,,https://www.twitch.tv/randomselectevents,https://www.youtube.com/randomselectevents,,,
https://www.start.gg/tournament/get-washed-world-warrior-2024-south-africa-2/details,South Africa #2,2024-07-27,2024-07-27T13:00+02:00,2024-07-27T15:00+02:00,,https://www.twitch.tv/randomselectevents,https://www.youtube.com/randomselectevents,,,
https://www.start.gg/tournament/get-washed-world-warrior-2024-south-africa-3/details,South Africa #3,2024-08-17,2024-08-17T13:00+02:00,2024-08-17T15:00+02:00,,https://www.twitch.tv/randomselectevents,https://www.youtube.com/randomselectevents,,,
https://www.start.gg/tournament/get-washed-world-warrior-2024-south-africa-4/details,South Africa #4,2024-09-28,2024-09-28T13:00+02:00,2024-09-28T15:00+02:00,,https://www.twitch.tv/randomselectevents,https://www.youtube.com/randomselectevents,,,
